2022/08/17 10:07:44 [error] 34#34: *5 FastCGI sent in stderr: "PHP message: 2022-08-17T10:07:44+00:00 [critical] Uncaught Exception: Unable to create the "cache" directory (/var/www/var/cache/dev)" while reading upstream, client: 10.0.0.1, server: test2.loc, request: "GET / HTTP/1.1", upstream: "fastcgi://10.5.0.6:9000", host: "www.main.loc"
2022/08/17 10:08:12 [error] 34#34: *5 FastCGI sent in stderr: "PHP message: 2022-08-17T10:08:12+00:00 [critical] Uncaught Exception: Unable to write in the "cache" directory (/var/www/var/cache/dev)" while reading upstream, client: 10.0.0.1, server: test2.loc, request: "GET / HTTP/1.1", upstream: "fastcgi://10.5.0.6:9000", host: "www.main.loc"
2022/08/17 10:08:13 [error] 34#34: *5 FastCGI sent in stderr: "PHP message: 2022-08-17T10:08:13+00:00 [critical] Uncaught Exception: Unable to write in the "cache" directory (/var/www/var/cache/dev)" while reading upstream, client: 10.0.0.1, server: test2.loc, request: "GET / HTTP/1.1", upstream: "fastcgi://10.5.0.6:9000", host: "www.main.loc"
2022/08/17 10:08:13 [error] 34#34: *5 FastCGI sent in stderr: "PHP message: 2022-08-17T10:08:13+00:00 [critical] Uncaught Exception: Unable to write in the "cache" directory (/var/www/var/cache/dev)" while reading upstream, client: 10.0.0.1, server: test2.loc, request: "GET / HTTP/1.1", upstream: "fastcgi://10.5.0.6:9000", host: "www.main.loc"
2022/08/17 11:03:17 [error] 31#31: *2101 FastCGI sent in stderr: "PHP message: 2022-08-17T11:03:17+00:00 [critical] Uncaught Exception: Unable to write in the "cache" directory (/var/www/var/cache/dev)" while reading upstream, client: 10.0.0.1, server: test2.loc, request: "GET /_wdt/9a849f HTTP/1.1", upstream: "fastcgi://10.5.0.6:9000", host: "www.main.loc", referrer: "http://www.main.loc/new_record"
2022/08/17 11:03:50 [error] 31#31: *2101 FastCGI sent in stderr: "PHP message: 2022-08-17T11:03:50+00:00 [critical] Uncaught Exception: Unable to write in the "cache" directory (/var/www/var/cache/dev)" while reading upstream, client: 10.0.0.1, server: test2.loc, request: "GET /new_record HTTP/1.1", upstream: "fastcgi://10.5.0.6:9000", host: "www.main.loc", referrer: "http://www.main.loc/register"
2022/08/17 13:59:40 [error] 32#32: *1 FastCGI sent in stderr: "PHP message: 2022-08-17T13:59:40+00:00 [critical] Uncaught Error: syntax error, unexpected variable "$manager"" while reading upstream, client: 10.0.0.1, server: test2.loc, request: "GET /public/plugins/jquery/jquery.min.js HTTP/1.1", upstream: "fastcgi://10.5.0.6:9000", host: "www.main.loc", referrer: "http://www.main.loc/new_record"
2022/08/17 13:59:40 [error] 29#29: *5 FastCGI sent in stderr: "PHP message: 2022-08-17T13:59:40+00:00 [critical] Uncaught Error: syntax error, unexpected variable "$manager"" while reading upstream, client: 10.0.0.1, server: test2.loc, request: "GET /public/dist/js/adminlte.min.js HTTP/1.1", upstream: "fastcgi://10.5.0.6:9000", host: "www.main.loc", referrer: "http://www.main.loc/new_record"
2022/08/17 13:59:40 [error] 32#32: *2 FastCGI sent in stderr: "PHP message: 2022-08-17T13:59:40+00:00 [critical] Uncaught Error: syntax error, unexpected variable "$manager"" while reading upstream, client: 10.0.0.1, server: test2.loc, request: "GET /public/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1", upstream: "fastcgi://10.5.0.6:9000", host: "www.main.loc", referrer: "http://www.main.loc/new_record"
2022/08/17 13:59:40 [error] 32#32: *1 FastCGI sent in stderr: "PHP message: 2022-08-17T13:59:40+00:00 [critical] Uncaught Error: syntax error, unexpected variable "$manager"" while reading upstream, client: 10.0.0.1, server: test2.loc, request: "GET /_wdt/15b95d HTTP/1.1", upstream: "fastcgi://10.5.0.6:9000", host: "www.main.loc", referrer: "http://www.main.loc/new_record"
2022/08/17 13:59:40 [error] 30#30: *8 FastCGI sent in stderr: "PHP message: 2022-08-17T13:59:40+00:00 [critical] Uncaught Error: syntax error, unexpected variable "$manager"" while reading upstream, client: 10.0.0.1, server: test2.loc, request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://10.5.0.6:9000", host: "www.main.loc", referrer: "http://www.main.loc/new_record"
2022/08/17 13:59:42 [error] 30#30: *8 FastCGI sent in stderr: "PHP message: 2022-08-17T13:59:42+00:00 [critical] Uncaught Error: syntax error, unexpected variable "$manager"" while reading upstream, client: 10.0.0.1, server: test2.loc, request: "GET /public/plugins/jquery/jquery.min.js HTTP/1.1", upstream: "fastcgi://10.5.0.6:9000", host: "www.main.loc", referrer: "http://www.main.loc/"
2022/08/17 13:59:43 [error] 31#31: *12 FastCGI sent in stderr: "PHP message: 2022-08-17T13:59:43+00:00 [critical] Uncaught Error: syntax error, unexpected variable "$manager"" while reading upstream, client: 10.0.0.1, server: test2.loc, request: "GET /public/dist/js/adminlte.min.js HTTP/1.1", upstream: "fastcgi://10.5.0.6:9000", host: "www.main.loc", referrer: "http://www.main.loc/"
2022/08/17 13:59:43 [error] 32#32: *1 FastCGI sent in stderr: "PHP message: 2022-08-17T13:59:43+00:00 [critical] Uncaught Error: syntax error, unexpected variable "$manager"" while reading upstream, client: 10.0.0.1, server: test2.loc, request: "GET /public/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1", upstream: "fastcgi://10.5.0.6:9000", host: "www.main.loc", referrer: "http://www.main.loc/"
2022/08/17 13:59:43 [error] 32#32: *14 FastCGI sent in stderr: "PHP message: 2022-08-17T13:59:43+00:00 [critical] Uncaught Error: syntax error, unexpected variable "$manager"" while reading upstream, client: 10.0.0.1, server: test2.loc, request: "GET /_wdt/8cf3ec HTTP/1.1", upstream: "fastcgi://10.5.0.6:9000", host: "www.main.loc", referrer: "http://www.main.loc/"
2022/08/17 13:59:43 [error] 32#32: *16 FastCGI sent in stderr: "PHP message: 2022-08-17T13:59:43+00:00 [critical] Uncaught Error: syntax error, unexpected variable "$manager"" while reading upstream, client: 10.0.0.1, server: test2.loc, request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://10.5.0.6:9000", host: "www.main.loc", referrer: "http://www.main.loc/"
